scrape_date,title,url,source_page,department,location,time_type,posted,requisition_id,scrape_time,scrape_day
2025-03-12,"Assistant Dean, Chicano Latino Student Affairs (12-month, Onsite)",https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Assistant-Dean--Chicano-Latino-Student-Affairs--12-month--Onsite-_REQ-7157,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:16:38,Wed
2025-03-12,Campus Safety Dispatcher (Onsite; 4/10 Schedule),https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Campus-Safety-Dispatcher--Onsite--4-10-Schedule-_REQ-7158,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:16:50,Wed
2025-03-12,Network Engineer,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Network-Engineer_REQ-7133,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:17:03,Wed
2025-03-12,Acquisitions Associate,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Acquisitions-Associate_REQ-7137,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:17:15,Wed
2025-03-12,"Campus Safety Officer (Onsite, 4/10)",https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Campus-Safety-Officer--Onsite--4-10-_REQ-7138-1,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:17:27,Wed
2025-03-12,Building Automation Systems Specialist,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/TCCS---Building-Automation-Systems-Specialist_REQ-7123,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:17:39,Wed
2025-03-12,"Staff Physician (9-Months, Full-Time)",https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Staff-Physician--9-Months--Full-Time-_REQ-7035,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:17:51,Wed
2025-03-12,Building Automation Systems Supervisor,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Building-Automation-Systems-Supervisor_REQ-7031,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:18:03,Wed
2025-03-12,Locksmith,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Locksmith_REQ-6993,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:18:16,Wed
2025-03-12,Head of Information Literacy & Student Engagement,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Head-of-Information-Literacy---Student-Engagement_REQ-6918,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,08:18:28,Wed
