scrape_date,title,url,source_page,department,location,time_type,posted,requisition_id,scrape_time,scrape_day
2025-03-11,"Assistant Dean, Chicano Latino Student Affairs (12-month, Onsite)",https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Assistant-Dean--Chicano-Latino-Student-Affairs--12-month--Onsite-_REQ-7157,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:40:14,Tue
2025-03-11,Campus Safety Dispatcher (Onsite; 4/10 Schedule),https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Campus-Safety-Dispatcher--Onsite--4-10-Schedule-_REQ-7158,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:40:26,Tue
2025-03-11,Network Engineer,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Network-Engineer_REQ-7133,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:40:38,Tue
2025-03-11,Acquisitions Associate,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Acquisitions-Associate_REQ-7137,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:40:50,Tue
2025-03-11,"Campus Safety Officer (Onsite, 4/10)",https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Campus-Safety-Officer--Onsite--4-10-_REQ-7138-1,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:41:02,Tue
2025-03-11,Building Automation Systems Specialist,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/TCCS---Building-Automation-Systems-Specialist_REQ-7123,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:41:15,Tue
2025-03-11,"Staff Physician (9-Months, Full-Time)",https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Staff-Physician--9-Months--Full-Time-_REQ-7035,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:41:27,Tue
2025-03-11,Building Automation Systems Supervisor,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Building-Automation-Systems-Supervisor_REQ-7031,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:41:39,Tue
2025-03-11,Locksmith,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Locksmith_REQ-6993,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:41:51,Tue
2025-03-11,Head of Information Literacy & Student Engagement,https://theclaremontcolleges.wd1.myworkdayjobs.com/en-US/TCCS_Careers/job/Claremont/Head-of-Information-Literacy---Student-Engagement_REQ-6918,https://theclaremontcolleges.wd1.myworkdayjobs.com/TCCS_Careers,TCCS,,,,,11:42:03,Tue
