path,kind,size_bytes,duration_seconds,codec_name,sample_rate_hz,channels,mime_type,raw_url,sha256
808bd/BD5025.WAV,audio,44146,0.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD5025.WAV,e03a495e6c436554bffbffea88f21232a425b32a958b7cb6b24d65a0cb396593
808bd/BD5050.WAV,audio,132346,1.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD5050.WAV,2ca93cd7a3b19f6ec7fe26fefe51b89de69b7be7a87047ffc8ecd396064a8504
808bd/BD5075.WAV,audio,176446,2.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD5075.WAV,9ed0c14f09d091b78aa962bb0184813c02e6657857c86ff33c14b2f9daab6558
808bd/BD7500.WAV,audio,22096,0.250023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD7500.WAV,d91601a7dee7a81a55a191024e0f6f756e69c4e09e33e820018a620ef27dfd2d
808bd/BD7510.WAV,audio,264646,3.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD7510.WAV,2ed856c1e4c7fcb9727fe436cadc5c52258eca4735013dd42813b28107e5cf48
808bd/BD7525.WAV,audio,44146,0.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD7525.WAV,6140eb4cf04236349524ab7911d81d0e2199843a1c2b3fb6eab2e63706b24605
808bd/BD7550.WAV,audio,132346,1.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD7550.WAV,44dc338b85c2605c6b75465d1d208f4cf58e440a25118fcac64033590a59ca0a
808bd/BD7575.WAV,audio,176446,2.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808bd/BD7575.WAV,f682067cb3e717374d27e2c8cdabaa3ea16eb8afe36776f163b46ebed64de5c9
808cy/CY0000.WAV,audio,132346,1.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY0000.WAV,02f21af068c08f2024fe279fa935329801dee05954c11f07ece1a83bb9c32d6b
808cy/CY0010.WAV,audio,352846,4.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY0010.WAV,5e90c2d127809e66a9d6ccbb41629df877ff7feb105e3f7d6356cc4a83e9a882
808cy/CY0025.WAV,audio,176446,2.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY0025.WAV,bdb65b35461ef62f229c1461539c548470a3faf65bd592e5c2a5050c27d4b399
808cy/CY0050.WAV,audio,220546,2.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY0050.WAV,f356c7741b0c8afa158d94d2492473a45d05597e11629fe8e5d463ec2df30fdb
808cy/CY0075.WAV,audio,308746,3.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY0075.WAV,e8ea77861310eeed2d4619467506d4ef949b98f26790ae76a1aba17a1537b211
808cy/CY1000.WAV,audio,132346,1.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY1000.WAV,3f8a1f546869d6a3cefca44c9296c0971163e54e80380fa39501fc44f1079ed7
808cy/CY1010.WAV,audio,352846,4.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY1010.WAV,0d49c0a19edda77869d0ad1b3a4a6c583bf37e1260ca2974f5b6ec06029ae7aa
808cy/CY1025.WAV,audio,176446,2.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY1025.WAV,f774fde1ff134add25ba429cbd33b7b9e235b089ff00d2846fc5871d954988d5
